"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround"
5.20500000000007,1.09893676009388,0.599877719232938,0.1
5.20600000000007,1.09893258131463,0.599877588482163,0.1
5.20700000000007,1.09892844794143,0.599877462223876,0.1
5.20800000000007,1.09892436002377,0.59987734045322,0.1
5.20900000000007,1.09892031760952,0.599877223165194,0.1
5.21000000000007,1.09891632074486,0.599877110354651,0.1
5.21100000000007,1.09891236947428,0.599877002016303,0.1
5.21200000000007,1.09890846384065,0.599876898144716,0.1
5.21300000000007,1.09890460388514,0.599876798734313,0.1
5.21400000000008,1.09890078964728,0.599876703779376,0.1
5.21500000000008,1.09889702116494,0.599876613274043,0.1
5.21600000000008,1.09889329847431,0.599876527212314,0.1
5.21700000000008,1.09888962160997,0.599876445588043,0.1
5.21800000000008,1.0988859906048,0.599876368394948,0.1
5.21900000000008,1.09888240549006,0.599876295626604,0.1
5.22000000000008,1.09887886629536,0.599876227276448,0.1
5.22100000000008,1.09887537304864,0.599876163337778,0.1
5.22200000000008,1.09887192577623,0.599876103803752,0.1
5.22300000000008,1.09886852450281,0.599876048667391,0.1
5.22400000000008,1.0988651692514,0.599875997921579,0.1
5.22500000000008,1.09886186004342,0.599875951559063,0.1
5.22600000000008,1.09885859689862,0.599875909572454,0.1
5.22700000000008,1.09885537983515,0.599875871954225,0.1
5.22800000000008,1.09885220886952,0.599875838696715,0.1
5.22900000000008,1.09884908401661,0.59987580979213,0.1
5.23000000000008,1.09884600528969,0.599875785232538,0.1
5.23100000000008,1.09884297270041,0.599875765009878,0.1
5.23200000000008,1.09883998625879,0.599875749115951,0.1
5.23300000000008,1.09883704597325,0.599875737542429,0.1
5.23400000000008,1.0988341518506,0.59987573028085,0.1
5.23500000000008,1.09883130389604,0.599875727322623,0.1
5.23600000000008,1.09882850211316,0.599875728659022,0.1
5.23700000000008,1.09882574650395,0.599875734281194,0.1
5.23800000000008,1.09882303706882,0.599875744180157,0.1
