"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround","chassis1\zChassis","wheel1\zWheel","ground1\zGround"
1.9439999999999,1.07093978445072,0.596612025650015,0.1,1.07231568478017,0.598636602696357,0.1
1.9449999999999,1.0708181129782,0.596607888654484,0.1,1.07219278047879,0.598632414766596,0.1
1.9459999999999,1.0706977010372,0.596603876722226,0.1,1.07207116274198,0.598628353720986,0.1
1.9469999999999,1.07057855015435,0.596599989631767,0.1,1.07195083307822,0.598624419383778,0.1
1.9479999999999,1.07046066180936,0.596596227162655,0.1,1.0718317929483,0.598620611581494,0.1
1.9489999999999,1.07034403743507,0.59659258909573,0.1,1.07171404376538,0.598616930142951,0.1
1.9499999999999,1.07022867841754,0.596589075213355,0.1,1.07159758689506,0.598613374899264,0.1
1.9509999999999,1.07011458609606,0.596585685299628,0.1,1.07148242365541,0.598609945683815,0.1
1.9519999999999,1.07000176176327,0.596582419140553,0.1,1.07136855531707,0.598606642332206,0.1
1.9529999999999,1.06989020666516,0.596579276524201,0.1,1.07125598310334,0.598603464682182,0.1
1.95399999999989,1.06977992200121,0.596576257240828,0.1,1.07114470819021,0.598600412573535,0.1
1.95499999999989,1.06967090892439,0.596573361082972,0.1,1.07103473170643,0.598597485847981,0.1
1.95599999999989,1.06956316854128,0.596570587845524,0.1,1.07092605473364,0.598594684349023,0.1
1.95699999999989,1.06945670191213,0.596567937325769,0.1,1.0708186783064,0.598592007921782,0.1
1.95799999999989,1.06935151005091,0.596565409323402,0.1,1.07071260341225,0.598589456412829,0.1
1.95899999999989,1.06924759392542,0.596563003640518,0.1,1.07060783099184,0.598587029669978,0.1
1.95999999999989,1.06914495445736,0.596560720081582,0.1,1.07050436193899,0.598584727542078,0.1
1.96099999999989,1.06904359252239,0.596558558453365,0.1,1.07040219710073,0.598582549878787,0.1
1.96199999999989,1.06894350895022,0.596556518564869,0.1,1.07030133727745,0.598580496530326,0.1
1.96299999999989,1.0688447045247,0.596554600227219,0.1,1.07020178322291,0.598578567347232,0.1
1.96399999999989,1.06874717998391,0.596552803253541,0.1,1.07010353564439,0.598576762180091,0.1
1.96499999999989,1.06865093602022,0.596551127458821,0.1,1.07000659520273,0.598575080879268,0.1
1.96599999999989,1.06855597328038,0.596549572659735,0.1,1.06991096251241,0.598573523294627,0.1
1.96699999999989,1.06846229236564,0.596548138674475,0.1,1.06981663814169,0.598572089275243,0.1
1.96799999999989,1.06836989383179,0.596546825322549,0.1,1.06972362261261,0.598570778669112,0.1
1.96899999999989,1.06827877818929,0.596545632424569,0.1,1.06963191640116,0.598569591322856,0.1
1.96999999999989,1.06818894590333,0.596544559802027,0.1,1.06954151993732,0.598568527081429,0.1
1.97099999999989,1.06810039739393,0.596543607277055,0.1,1.06945243360516,0.598567585787814,0.1
1.97199999999989,1.06801313303605,0.596542774672173,0.1,1.06936465774293,0.598566767282731,0.1
1.97299999999989,1.06792715315964,0.596542061810035,0.1,1.06927819264314,0.598566071404339,0.1
1.97399999999989,1.0678424580498,0.596541468513156,0.1,1.06919303855267,0.598565497987944,0.1
1.97499999999989,1.0677590479468,0.59654099460364,0.1,1.06910919567284,0.59856504686571,0.1
1.97599999999989,1.06767692304621,0.596540639902899,0.1,1.06902666415952,0.598564717866379,0.1
1.97699999999989,1.06759608349903,0.596540404231365,0.1,1.0689454441232,0.598564510814991,0.1
1.97799999999989,1.0675165294117,0.596540287408203,0.1,1.06886553562911,0.598564425532617,0.1
1.97899999999989,1.06743826084629,0.596540289251024,0.1,1.06878693869728,0.598564461836097,0.1
1.97999999999989,1.06736127782054,0.596540409575588,0.1,1.06870965330268,0.598564619537789,0.1
1.98099999999989,1.06728558030796,0.596540648195519,0.1,1.06863367937525,0.59856489844533,0.1
1.98199999999989,1.06721116823796,0.596541004922014,0.1,1.06855901680006,0.598565298361403,0.1
1.98299999999989,1.06713804149592,0.59654147956356,0.1,1.06848566541739,0.598565819083518,0.1
1.98399999999989,1.06706619992332,0.596542071925651,0.1,1.06841362502277,0.59856646040381,0.1
1.98499999999989,1.06699564331779,0.596542781810515,0.1,1.06834289536718,0.598567222108842,0.1
1.98599999999989,1.06692637143327,0.596543609016842,0.1,1.06827347615705,0.598568103979427,0.1
1.98699999999989,1.06685838398007,0.596544553339526,0.1,1.06820536705441,0.598569105790461,0.1
1.98799999999989,1.066791680625,0.596545614569406,0.1,1.068138567677,0.598570227310777,0.1
1.98899999999989,1.06672626099145,0.596546792493029,0.1,1.06807307759832,0.598571468302999,0.1
1.98999999999989,1.06666212465949,0.596548086892408,0.1,1.0680088963478,0.598572828523431,0.1
1.99099999999989,1.06659927116602,0.596549497544806,0.1,1.06794602341083,0.598574307721941,0.1
1.99199999999989,1.0665377000048,0.596551024222517,0.1,1.06788445822893,0.598575905641879,0.1
1.99299999999989,1.06647741062665,0.596552666692672,0.1,1.06782420019979,0.598577622019993,0.1
1.99399999999989,1.06641840243944,0.596554424717048,0.1,1.06776524867745,0.598579456586373,0.1
1.99499999999989,1.06636067480832,0.596556298051894,0.1,1.06770760297234,0.598581409064406,0.1
1.99599999999989,1.06630422705573,0.596558286447773,0.1,1.06765126235141,0.598583479170743,0.1
1.99699999999989,1.06624905846156,0.596560389649412,0.1,1.06759622603825,0.598585666615286,0.1
1.99799999999989,1.06619516826324,0.596562607395574,0.1,1.06754249321319,0.598587971101188,0.1
1.99899999999989,1.06614255565586,0.596564939418938,0.1,1.06749006301342,0.598590392324865,0.1
1.99999999999989,1.06609121979226,0.596567385445993,0.1,1.06743893453306,0.598592929976025,0.1
2.00099999999989,1.06604115978317,0.596569945196956,0.1,1.06738910682336,0.598595583737709,0.1
2.00199999999989,1.06599237469731,0.596572618385696,0.1,1.06734057889271,0.598598353286346,0.1
2.00299999999989,1.0659448635615,0.596575404719673,0.1,1.06729334970684,0.598601238291824,0.1
2.00399999999989,1.06589862536076,0.596578303899899,0.1,1.06724741818889,0.598604238417561,0.1
2.00499999999989,1.06585365903847,0.596581315620906,0.1,1.06720278321953,0.598607353320607,0.1
2.00599999999989,1.06580996349643,0.596584439570735,0.1,1.06715944363711,0.598610582651738,0.1
2.00699999999989,1.06576753759502,0.596587675430931,0.1,1.06711739823776,0.598613926055575,0.1
2.00799999999989,1.06572638015329,0.596591022876561,0.1,1.06707664577548,0.598617383170702,0.1
2.00899999999989,1.0656864899491,0.596594481576242,0.1,1.06703718496235,0.5986209536298,0.1
2.00999999999989,1.06564786571923,0.596598051192179,0.1,1.06699901446855,0.598624637059789,0.1
2.01099999999989,1.0656105061595,0.596601731380221,0.1,1.06696213292257,0.59862843308197,0.1
2.01199999999989,1.06557440992488,0.596605521789926,0.1,1.06692653891129,0.598632341312187,0.1
2.01299999999989,1.06553957562966,0.59660942206464,0.1,1.06689223098013,0.598636361360984,0.1
2.01399999999989,1.06550600184753,0.596613431841588,0.1,1.06685920763317,0.598640492833771,0.1
2.01499999999989,1.06547368711169,0.596617550751968,0.1,1.06682746733329,0.598644735330999,0.1
2.01599999999989,1.06544262991506,0.596621778421072,0.1,1.0667970085023,0.598649088448332,0.1
2.01699999999989,1.0654128287103,0.596626114468395,0.1,1.06676782952106,0.598653551776828,0.1
2.01799999999989,1.06538428191005,0.596630558507773,0.1,1.06673992872966,0.598658124903118,0.1
2.01899999999989,1.06535698788695,0.596635110147512,0.1,1.06671330442749,0.598662807409591,0.1
2.01999999999989,1.06533094497387,0.596639768990542,0.1,1.06668795487346,0.59866759887458,0.1
2.02099999999989,1.06530615146398,0.59664453463456,0.1,1.06666387828606,0.598672498872539,0.1
2.02199999999989,1.06528260561091,0.596649406672194,0.1,1.06664107284358,0.598677506974239,0.1
2.02299999999989,1.0652603056289,0.596654384691163,0.1,1.06661953668418,0.598682622746939,0.1
2.02399999999989,1.0652392496929,0.596659468274447,0.1,1.06659926790608,0.598687845754579,0.1
2.02499999999989,1.06521943593874,0.596664657000456,0.1,1.0665802645677,0.598693175557952,0.1
2.02599999999989,1.06520086246325,0.596669950443212,0.1,1.06656252468782,0.598698611714882,0.1
2.02699999999989,1.06518352732444,0.596675348172518,0.1,1.06654604624569,0.598704153780402,0.1
2.02799999999989,1.06516742854158,0.596680849754147,0.1,1.06653082718122,0.598709801306917,0.1
2.02899999999989,1.06515256409541,0.596686454750016,0.1,1.0665168653951,0.598715553844374,0.1
2.02999999999989,1.06513893192824,0.596692162718372,0.1,1.066504158749,0.598721410940421,0.1
2.03099999999989,1.06512652994412,0.596697973213973,0.1,1.06649270506567,0.59872737214056,0.1
2.03199999999989,1.06511535600899,0.596703885788265,0.1,1.06648250212914,0.598733436988298,0.1
2.03299999999989,1.06510540795081,0.596709899989567,0.1,1.06647354768485,0.598739605025289,0.1
2.03399999999989,1.06509668355974,0.596716015363246,0.1,1.06646583943983,0.598745875791469,0.1
2.03499999999989,1.06508918058826,0.59672223145189,0.1,1.06645937506285,0.59875224882519,0.1
2.03599999999989,1.06508289675136,0.596728547795481,0.1,1.06645415218458,0.598758723663338,0.1
2.03699999999989,1.06507782972666,0.596734963931565,0.1,1.06645016839776,0.598765299841449,0.1
2.03799999999989,1.06507397715462,0.596741479395412,0.1,1.06644742125734,0.59877197689382,0.1
2.03899999999989,1.06507133663861,0.596748093720178,0.1,1.0664459082807,0.598778754353603,0.1
2.03999999999989,1.06506990574518,0.596754806437057,0.1,1.06644562694775,0.598785631752903,0.1
2.04099999999989,1.06506968200413,0.596761617075431,0.1,1.06644657470116,0.598792608622859,0.1
2.04199999999989,1.0650706629087,0.596768525163012,0.1,1.06644874894647,0.598799684493721,0.1
